query_idx,query_label,query_file,best_model,best_model_ap,ap__score_fusion_x,score_fusion_delta_vs_best_model,score_fusion_delta_vs_oracle,ap__EVA-02,rank1__EVA-02,first_pos_rank__EVA-02,top1_idx__EVA-02,top1_label__EVA-02,top1_sim__EVA-02,top1_file__EVA-02,top3__EVA-02,ap__MiewID,rank1__MiewID,first_pos_rank__MiewID,top1_idx__MiewID,top1_label__MiewID,top1_sim__MiewID,top1_file__MiewID,top3__MiewID,ap__ConvNeXt-V2,rank1__ConvNeXt-V2,first_pos_rank__ConvNeXt-V2,top1_idx__ConvNeXt-V2,top1_label__ConvNeXt-V2,top1_sim__ConvNeXt-V2,top1_file__ConvNeXt-V2,top3__ConvNeXt-V2,ap__score_fusion_y,rank1__score_fusion,first_pos_rank__score_fusion,top1_idx__score_fusion,top1_label__score_fusion,top1_sim__score_fusion,top1_file__score_fusion,top3__score_fusion,ap__embedding_concat,rank1__embedding_concat,first_pos_rank__embedding_concat,top1_idx__embedding_concat,top1_label__embedding_concat,top1_sim__embedding_concat,top1_file__embedding_concat,top3__embedding_concat,ap__adaptive_margin_top5,rank1__adaptive_margin_top5,first_pos_rank__adaptive_margin_top5,top1_idx__adaptive_margin_top5,top1_label__adaptive_margin_top5,top1_sim__adaptive_margin_top5,top1_file__adaptive_margin_top5,top3__adaptive_margin_top5,ap__rrf_k60,rank1__rrf_k60,first_pos_rank__rrf_k60,top1_idx__rrf_k60,top1_label__rrf_k60,top1_sim__rrf_k60,top1_file__rrf_k60,top3__rrf_k60
970,Madalena,train_0971.png,EVA-02,0.9767801200409897,0.1476191437092977,-0.829160976331692,-0.829160976331692,0.9767801200409897,True,1,969,Madalena,0.8213467597961426,train_0970.png,1:Madalena|train_0970.png|0.8213 || 2:Madalena|train_0969.png|0.8132 || 3:Madalena|train_0961.png|0.8038,0.10841504366901494,False,11,1014,Marcela,0.5886258482933044,train_1015.png,1:Marcela|train_1015.png|0.5886 || 2:Marcela|train_1097.png|0.5792 || 3:Marcela|train_1095.png|0.5704,0.009146705537701355,False,530,50,Marcela,0.7324774861335754,train_0051.png,1:Marcela|train_0051.png|0.7325 || 2:Kwang|train_0777.png|0.7200 || 3:Kwang|train_0754.png|0.7152,0.1476191437092977,False,3,734,Kwang,0.6945719492147753,train_0735.png,1:Kwang|train_0735.png|0.6946 || 2:Kwang|train_0033.png|0.6831 || 3:Madalena|train_0976.png|0.6786,0.12581340072670427,False,4,734,Kwang,0.5347128568203532,train_0735.png,1:Kwang|train_0735.png|0.5347 || 2:Kwang|train_0033.png|0.5164 || 3:Saseka|train_1668.png|0.5076,0.13759846438226567,False,4,1014,Marcela,0.5019155144691467,train_1015.png,1:Marcela|train_1015.png|0.5019 || 2:Kwang|train_0735.png|0.4952 || 3:Marcela|train_1100.png|0.4946,0.5218566813287685,True,1,975,Madalena,0.027164891362190247,train_0976.png,1:Madalena|train_0976.png|0.0272 || 2:Marcela|train_0051.png|0.0268 || 3:Madalena|train_0956.png|0.0261
971,Madalena,train_0972.png,EVA-02,0.9726669144060449,0.15163788912085463,-0.8210290252851903,-0.8210290252851903,0.9726669144060449,True,1,969,Madalena,0.816801130771637,train_0970.png,1:Madalena|train_0970.png|0.8168 || 2:Madalena|train_0969.png|0.8104 || 3:Madalena|train_0961.png|0.7949,0.1827784072639597,False,3,1014,Marcela,0.5420313477516174,train_1015.png,1:Marcela|train_1015.png|0.5420 || 2:Marcela|train_1097.png|0.5175 || 3:Madalena|train_0956.png|0.5068,0.008828161596080445,False,573,50,Marcela,0.7429016828536987,train_0051.png,1:Marcela|train_0051.png|0.7429 || 2:Kwang|train_0754.png|0.7209 || 3:Kwang|train_0753.png|0.7140,0.15163788912085463,False,3,734,Kwang,0.6854695172736196,train_0735.png,1:Kwang|train_0735.png|0.6855 || 2:Saseka|train_1668.png|0.6729 || 3:Madalena|train_0976.png|0.6682,0.12245252108525354,False,6,734,Kwang,0.5206804665549079,train_0735.png,1:Kwang|train_0735.png|0.5207 || 2:Saseka|train_1668.png|0.5014 || 3:Kwang|train_0779.png|0.4938,0.1949707894595527,False,3,1014,Marcela,0.4821516275405884,train_1015.png,1:Marcela|train_1015.png|0.4822 || 2:Kwang|train_0735.png|0.4793 || 3:Madalena|train_0976.png|0.4758,0.6699625471503146,True,1,955,Madalena,0.027889134362339973,train_0956.png,1:Madalena|train_0956.png|0.0279 || 2:Madalena|train_0976.png|0.0266 || 3:Marcela|train_1015.png|0.0265
973,Madalena,train_0974.png,EVA-02,1.0,0.30479816204215054,-0.6952018379578495,-0.6952018379578495,1.0,True,1,969,Madalena,0.8394924402236938,train_0970.png,1:Madalena|train_0970.png|0.8395 || 2:Madalena|train_0969.png|0.8325 || 3:Madalena|train_0953.png|0.8196,0.3664151007947583,True,1,955,Madalena,0.5233392119407654,train_0956.png,1:Madalena|train_0956.png|0.5233 || 2:Marcela|train_1015.png|0.5161 || 3:Madalena|train_0955.png|0.5058,0.009180879704315213,False,571,50,Marcela,0.77236008644104,train_0051.png,1:Marcela|train_0051.png|0.7724 || 2:Marcela|train_1013.png|0.7541 || 3:Marcela|train_1011.png|0.7332,0.30479816204215054,True,1,975,Madalena,0.6805539515826154,train_0976.png,1:Madalena|train_0976.png|0.6806 || 2:Kwang|train_0735.png|0.6686 || 3:Marcela|train_1100.png|0.6665,0.24912779779512825,True,1,975,Madalena,0.5062280592739224,train_0976.png,1:Madalena|train_0976.png|0.5062 || 2:Marcela|train_1100.png|0.4962 || 3:Kwang|train_0735.png|0.4956,0.4490920069956676,True,1,975,Madalena,0.4843321442604065,train_0976.png,1:Madalena|train_0976.png|0.4843 || 2:Marcela|train_1015.png|0.4822 || 3:Madalena|train_0956.png|0.4632,0.8021327119224111,True,1,975,Madalena,0.030102726072072983,train_0976.png,1:Madalena|train_0976.png|0.0301 || 2:Madalena|train_0959.png|0.0287 || 3:Marcela|train_1015.png|0.0287
972,Madalena,train_0973.png,EVA-02,0.9981884057971016,0.3359936116085978,-0.6621947941885038,-0.6621947941885038,0.9981884057971016,True,1,969,Madalena,0.8447592258453369,train_0970.png,1:Madalena|train_0970.png|0.8448 || 2:Madalena|train_0969.png|0.8352 || 3:Madalena|train_0953.png|0.8211,0.5018867590121234,True,1,955,Madalena,0.5208193063735962,train_0956.png,1:Madalena|train_0956.png|0.5208 || 2:Madalena|train_0955.png|0.5084 || 3:Marcela|train_1015.png|0.5024,0.008774784840986415,False,572,50,Marcela,0.7671030759811401,train_0051.png,1:Marcela|train_0051.png|0.7671 || 2:Marcela|train_1013.png|0.7534 || 3:Marcela|train_1011.png|0.7213,0.3359936116085978,True,1,975,Madalena,0.6702859279843587,train_0976.png,1:Madalena|train_0976.png|0.6703 || 2:Saseka|train_1668.png|0.6640 || 3:Kwang|train_0735.png|0.6623,0.27329476090038396,True,1,975,Madalena,0.4910118157657792,train_0976.png,1:Madalena|train_0976.png|0.4910 || 2:Saseka|train_1668.png|0.4879 || 3:Kwang|train_0735.png|0.4856,0.42078126112732284,False,2,1014,Marcela,0.48205217719078064,train_1015.png,1:Marcela|train_1015.png|0.4821 || 2:Madalena|train_0976.png|0.4627 || 3:Madalena|train_0956.png|0.4543,0.8440920011290357,True,1,969,Madalena,0.02961190603673458,train_0970.png,1:Madalena|train_0970.png|0.0296 || 2:Madalena|train_0959.png|0.0292 || 3:Marcela|train_1015.png|0.0292
1278,Medrosa,train_1279.png,EVA-02,0.7929982120090124,0.21345835965629978,-0.5795398523527127,-0.5795398523527127,0.7929982120090124,False,2,1696,Saseka,0.8513120412826538,train_1697.png,1:Saseka|train_1697.png|0.8513 || 2:Medrosa|train_1212.png|0.8161 || 3:Medrosa|train_1244.png|0.8149,0.1424501174259595,False,4,90,Saseka,0.6293319463729858,train_0091.png,1:Saseka|train_0091.png|0.6293 || 2:Patricia|train_1548.png|0.5823 || 3:Patricia|train_1547.png|0.5670,0.056869365942541335,False,240,77,Ousado,0.6526852250099182,train_0078.png,1:Ousado|train_0078.png|0.6527 || 2:Guaraci|train_0450.png|0.6274 || 3:Ousado|train_1431.png|0.6022,0.21345835965629978,True,1,1173,Medrosa,0.7323275147428839,train_1174.png,1:Medrosa|train_1174.png|0.7323 || 2:Saseka|train_1702.png|0.6878 || 3:Katniss|train_0682.png|0.6815,0.19679206967353674,True,1,1173,Medrosa,0.5884317451208926,train_1174.png,1:Medrosa|train_1174.png|0.5884 || 2:Saseka|train_1702.png|0.5194 || 3:Katniss|train_0682.png|0.5111,0.1172308003492674,True,1,1173,Medrosa,0.5488614439964294,train_1174.png,1:Medrosa|train_1174.png|0.5489 || 2:Marcela|train_0048.png|0.5053 || 3:Patricia|train_1550.png|0.4973,0.30132129219178344,True,1,1173,Medrosa,0.029698727652430534,train_1174.png,1:Medrosa|train_1174.png|0.0297 || 2:Patricia|train_1550.png|0.0266 || 3:Katniss|train_0032.png|0.0253
1279,Medrosa,train_1280.png,EVA-02,0.7871871910168309,0.20799783191623225,-0.5791893591005987,-0.5791893591005987,0.7871871910168309,False,2,1696,Saseka,0.8565722703933716,train_1697.png,1:Saseka|train_1697.png|0.8566 || 2:Medrosa|train_1213.png|0.8382 || 3:Medrosa|train_1244.png|0.8368,0.15204819913406742,False,3,90,Saseka,0.6216545104980469,train_0091.png,1:Saseka|train_0091.png|0.6217 || 2:Patricia|train_1548.png|0.6017 || 3:Medrosa|train_1174.png|0.5957,0.0543826061969198,False,322,77,Ousado,0.6452762484550476,train_0078.png,1:Ousado|train_0078.png|0.6453 || 2:Solar|train_1740.png|0.6317 || 3:Guaraci|train_0450.png|0.6170,0.20799783191623225,True,1,1173,Medrosa,0.7283929405722706,train_1174.png,1:Medrosa|train_1174.png|0.7284 || 2:Saseka|train_1702.png|0.7011 || 3:Katniss|train_0032.png|0.6833,0.19060348887307063,True,1,1173,Medrosa,0.5826705892646108,train_1174.png,1:Medrosa|train_1174.png|0.5827 || 2:Saseka|train_1702.png|0.5398 || 3:Katniss|train_0032.png|0.5124,0.10822238836004146,True,1,1173,Medrosa,0.5420496463775635,train_1174.png,1:Medrosa|train_1174.png|0.5420 || 2:Marcela|train_0048.png|0.5116 || 3:Patricia|train_1550.png|0.4915,0.3058148560873751,True,1,1173,Medrosa,0.028466571122407913,train_1174.png,1:Medrosa|train_1174.png|0.0285 || 2:Saseka|train_1702.png|0.0279 || 3:Patricia|train_1550.png|0.0248
116,Bororo,train_0117.png,EVA-02,0.8224242553794374,0.37250376127849333,-0.4499204941009441,-0.4499204941009441,0.8224242553794374,True,1,118,Bororo,0.7497803568840027,train_0119.png,1:Bororo|train_0119.png|0.7498 || 2:Bororo|train_0412.png|0.7249 || 3:Bororo|train_0417.png|0.7085,0.18221643002967455,False,5,406,Bernard,0.49570512771606445,train_0407.png,1:Bernard|train_0407.png|0.4957 || 2:Oxum|train_1540.png|0.4789 || 3:Ti|train_1762.png|0.4433,0.015330158763358758,False,255,128,Katniss,0.5706151723861694,train_0129.png,1:Katniss|train_0129.png|0.5706 || 2:Jaju|train_0127.png|0.5537 || 3:Pollyanna|train_1604.png|0.5530,0.37250376127849333,False,2,128,Katniss,0.6601087217522992,train_0129.png,1:Katniss|train_0129.png|0.6601 || 2:Bororo|train_0421.png|0.6253 || 3:Pollyanna|train_0151.png|0.6237,0.3209061472908935,False,3,128,Katniss,0.48064085474634527,train_0129.png,1:Katniss|train_0129.png|0.4806 || 2:Pollyanna|train_0151.png|0.4299 || 3:Bororo|train_0421.png|0.4247,0.17386123024298078,False,8,128,Katniss,0.4490562081336975,train_0129.png,1:Katniss|train_0129.png|0.4491 || 2:Pollyanna|train_0151.png|0.4270 || 3:Pollyanna|train_1615.png|0.4124,0.4597881837289346,False,2,128,Katniss,0.034878168255090714,train_0129.png,1:Katniss|train_0129.png|0.0349 || 2:Bororo|train_0423.png|0.0312 || 3:Bororo|train_0421.png|0.0307
1385,Ousado,train_1386.png,EVA-02,0.7551086376452346,0.3264642815176667,-0.4286443561275679,-0.4286443561275679,0.7551086376452346,True,1,1382,Ousado,0.8643143177032471,train_1383.png,1:Ousado|train_1383.png|0.8643 || 2:Ousado|train_1384.png|0.8065 || 3:Ousado|train_1381.png|0.8006,0.09162297865095752,False,12,56,Marcela,0.655775785446167,train_0057.png,1:Marcela|train_0057.png|0.6558 || 2:Ti|train_1830.png|0.6233 || 3:Ti|train_1834.png|0.6215,0.2185451552493815,True,1,1383,Ousado,0.7998852133750916,train_1384.png,1:Ousado|train_1384.png|0.7999 || 2:Marcela|train_0056.png|0.7913 || 3:Marcela|train_0057.png|0.7457,0.3264642815176667,True,1,1381,Ousado,0.8010724915644735,train_1382.png,1:Ousado|train_1382.png|0.8011 || 2:Ousado|train_1381.png|0.7936 || 3:Ousado|train_1384.png|0.7897,0.3127247269572109,True,1,1381,Ousado,0.6955745796577735,train_1382.png,1:Ousado|train_1382.png|0.6956 || 2:Ousado|train_1381.png|0.6834 || 3:Ousado|train_1384.png|0.6770,0.2201766253582003,True,1,1381,Ousado,0.6686885356903076,train_1382.png,1:Ousado|train_1382.png|0.6687 || 2:Ousado|train_1381.png|0.6548 || 3:Ousado|train_1380.png|0.6392,0.36045954953623244,True,1,1381,Ousado,0.042712148278951645,train_1382.png,1:Ousado|train_1382.png|0.0427 || 2:Ousado|train_1381.png|0.0390 || 3:Ousado|train_1380.png|0.0357
1384,Ousado,train_1385.png,EVA-02,0.8023809714083991,0.3787465144426867,-0.42363445696571245,-0.42363445696571245,0.8023809714083991,True,1,1378,Ousado,0.8197994828224182,train_1379.png,1:Ousado|train_1379.png|0.8198 || 2:Ousado|train_1381.png|0.8193 || 3:Ousado|train_1380.png|0.8186,0.10653005434901876,False,21,1829,Ti,0.6087422370910645,train_1830.png,1:Ti|train_1830.png|0.6087 || 2:Akaloi|train_0004.png|0.5864 || 3:Jaju|train_0486.png|0.5835,0.1770083406518567,False,2,55,Marcela,0.775342583656311,train_0056.png,1:Marcela|train_0056.png|0.7753 || 2:Ousado|train_1384.png|0.7627 || 3:Marcela|train_0057.png|0.7451,0.3787465144426867,True,1,1381,Ousado,0.7949969366702067,train_1382.png,1:Ousado|train_1382.png|0.7950 || 2:Ousado|train_1384.png|0.7894 || 3:Ousado|train_1381.png|0.7840,0.3585543448128778,True,1,1381,Ousado,0.6853781120672782,train_1382.png,1:Ousado|train_1382.png|0.6854 || 2:Ousado|train_1384.png|0.6770 || 3:Ousado|train_1381.png|0.6678,0.25733157764575687,True,1,1381,Ousado,0.6445790529251099,train_1382.png,1:Ousado|train_1382.png|0.6446 || 2:Ousado|train_1384.png|0.6267 || 3:Ousado|train_1381.png|0.6243,0.37656190418998414,True,1,1381,Ousado,0.04167944937944412,train_1382.png,1:Ousado|train_1382.png|0.0417 || 2:Ousado|train_1384.png|0.0387 || 3:Ousado|train_1381.png|0.0372
107,Bagua,train_0108.png,MiewID,0.49634712761058647,0.08946538287362668,-0.4068817447369598,-0.4068817447369598,0.0745158974574757,False,10,1217,Medrosa,0.7393526434898376,train_1218.png,1:Medrosa|train_1218.png|0.7394 || 2:Medrosa|train_1219.png|0.7255 || 3:Medrosa|train_1217.png|0.7224,0.49634712761058647,True,1,267,Bagua,0.5731103420257568,train_0268.png,1:Bagua|train_0268.png|0.5731 || 2:Medrosa|train_0065.png|0.5695 || 3:Bagua|train_0303.png|0.5637,0.031110763950859228,False,195,1013,Marcela,0.7791230082511902,train_1014.png,1:Marcela|train_1014.png|0.7791 || 2:Marcela|train_1006.png|0.7654 || 3:Marcela|train_1007.png|0.7605,0.08946538287362668,False,110,134,Marcela,0.7443600770010361,train_0135.png,1:Marcela|train_0135.png|0.7444 || 2:Marcela|train_1012.png|0.7320 || 3:Marcela|train_1134.png|0.7304,0.08978069104452319,False,117,134,Marcela,0.6107528981832446,train_0135.png,1:Marcela|train_0135.png|0.6108 || 2:Marcela|train_1134.png|0.5932 || 3:Marcela|train_1012.png|0.5897,0.12152792054418161,False,63,134,Marcela,0.5966042280197144,train_0135.png,1:Marcela|train_0135.png|0.5966 || 2:Marcela|train_1134.png|0.5836 || 3:Marcela|train_1135.png|0.5630,0.1376061244900078,False,50,134,Marcela,0.03623489663004875,train_0135.png,1:Marcela|train_0135.png|0.0362 || 2:Marcela|train_1012.png|0.0341 || 3:Marcela|train_1134.png|0.0314
