query_idx,query_label,query_file,best_model,best_model_ap,ap__score_fusion_x,score_fusion_delta_vs_best_model,score_fusion_delta_vs_oracle,ap__EVA-02,rank1__EVA-02,first_pos_rank__EVA-02,top1_idx__EVA-02,top1_label__EVA-02,top1_sim__EVA-02,top1_file__EVA-02,top3__EVA-02,ap__MiewID,rank1__MiewID,first_pos_rank__MiewID,top1_idx__MiewID,top1_label__MiewID,top1_sim__MiewID,top1_file__MiewID,top3__MiewID,ap__ConvNeXt-V2,rank1__ConvNeXt-V2,first_pos_rank__ConvNeXt-V2,top1_idx__ConvNeXt-V2,top1_label__ConvNeXt-V2,top1_sim__ConvNeXt-V2,top1_file__ConvNeXt-V2,top3__ConvNeXt-V2,ap__score_fusion_y,rank1__score_fusion,first_pos_rank__score_fusion,top1_idx__score_fusion,top1_label__score_fusion,top1_sim__score_fusion,top1_file__score_fusion,top3__score_fusion,ap__embedding_concat,rank1__embedding_concat,first_pos_rank__embedding_concat,top1_idx__embedding_concat,top1_label__embedding_concat,top1_sim__embedding_concat,top1_file__embedding_concat,top3__embedding_concat,ap__adaptive_margin_top5,rank1__adaptive_margin_top5,first_pos_rank__adaptive_margin_top5,top1_idx__adaptive_margin_top5,top1_label__adaptive_margin_top5,top1_sim__adaptive_margin_top5,top1_file__adaptive_margin_top5,top3__adaptive_margin_top5,ap__rrf_k60,rank1__rrf_k60,first_pos_rank__rrf_k60,top1_idx__rrf_k60,top1_label__rrf_k60,top1_sim__rrf_k60,top1_file__rrf_k60,top3__rrf_k60
971,Madalena,train_0972.png,EVA-02,1.0,0.17887296278600626,-0.8211270372139937,-0.8211270372139937,1.0,True,1,952,Madalena,0.7904602885246277,train_0953.png,1:Madalena|train_0953.png|0.7905 || 2:Madalena|train_0967.png|0.7842 || 3:Madalena|train_0954.png|0.7817,0.6116666666666666,False,2,1011,Marcela,0.4719597399234772,train_1012.png,1:Marcela|train_1012.png|0.4720 || 2:Madalena|train_0966.png|0.4615 || 3:Madalena|train_0967.png|0.4583,0.011989508241011058,False,210,753,Kwang,0.7209490537643433,train_0754.png,1:Kwang|train_0754.png|0.7209 || 2:Kwang|train_0753.png|0.7140 || 3:Kwang|train_0037.png|0.6868,0.17887296278600626,False,9,778,Kwang,0.6579824708383715,train_0779.png,1:Kwang|train_0779.png|0.6580 || 2:Alira|train_0213.png|0.6494 || 3:Kwang|train_0753.png|0.6490,0.13282430213464697,False,12,778,Kwang,0.4938431723354836,train_0779.png,1:Kwang|train_0779.png|0.4938 || 2:Marcela|train_1100.png|0.4851 || 3:Kwang|train_0753.png|0.4813,0.29783549783549784,False,4,1099,Marcela,0.4611484706401825,train_1100.png,1:Marcela|train_1100.png|0.4611 || 2:Alira|train_0213.png|0.4545 || 3:Marcela|train_1012.png|0.4493,0.5961904761904762,False,2,212,Alira,0.03459591418504715,train_0213.png,1:Alira|train_0213.png|0.0346 || 2:Madalena|train_0967.png|0.0336 || 3:Alira|train_0214.png|0.0332
212,Alira,train_0213.png,ConvNeXt-V2,1.0,0.19126984126984126,-0.8087301587301587,-0.8087301587301587,0.11964285714285715,False,7,971,Madalena,0.64869624376297,train_0972.png,1:Madalena|train_0972.png|0.6487 || 2:Madalena|train_0973.png|0.6342 || 3:Saseka|train_1656.png|0.6282,0.014158038143574504,False,131,850,Lua,0.45859023928642273,train_0851.png,1:Lua|train_0851.png|0.4586 || 2:Lua|train_0846.png|0.4551 || 3:Overa|train_1469.png|0.4549,1.0,True,1,208,Alira,0.6005875468254089,train_0209.png,1:Alira|train_0209.png|0.6006 || 2:Alira|train_0203.png|0.5567 || 3:Alira|train_0204.png|0.5558,0.19126984126984126,False,7,971,Madalena,0.6494221937765539,train_0972.png,1:Madalena|train_0972.png|0.6494 || 2:Madalena|train_0971.png|0.6440 || 3:Saseka|train_1656.png|0.6406,0.1899524087024087,False,8,971,Madalena,0.4764121719641852,train_0972.png,1:Madalena|train_0972.png|0.4764 || 2:Madalena|train_0971.png|0.4694 || 3:Saseka|train_1656.png|0.4639,0.13622835497835498,False,14,971,Madalena,0.46339571475982666,train_0972.png,1:Madalena|train_0972.png|0.4634 || 2:Madalena|train_0971.png|0.4591 || 3:Saseka|train_1656.png|0.4521,0.16145833333333331,False,8,971,Madalena,0.03984464704990387,train_0972.png,1:Madalena|train_0972.png|0.0398 || 2:Madalena|train_0971.png|0.0391 || 3:Saseka|train_1656.png|0.0378
970,Madalena,train_0971.png,EVA-02,1.0,0.19313131313131313,-0.8068686868686868,-0.8068686868686868,1.0,True,1,965,Madalena,0.7889209985733032,train_0966.png,1:Madalena|train_0966.png|0.7889 || 2:Madalena|train_0968.png|0.7877 || 3:Madalena|train_0967.png|0.7876,0.3375757575757576,False,4,1107,Marcela,0.502448558807373,train_1108.png,1:Marcela|train_1108.png|0.5024 || 2:Marcela|train_1012.png|0.5009 || 3:Marcela|train_0138.png|0.4953,0.012348594314610661,False,202,753,Kwang,0.7152385711669922,train_0754.png,1:Kwang|train_0754.png|0.7152 || 2:Kwang|train_0753.png|0.7118 || 3:Kwang|train_0037.png|0.7007,0.19313131313131313,False,9,778,Kwang,0.664375204994505,train_0779.png,1:Kwang|train_0779.png|0.6644 || 2:Kwang|train_0037.png|0.6574 || 3:Marcela|train_1100.png|0.6539,0.13249910873440288,False,12,778,Kwang,0.5033243727681114,train_0779.png,1:Kwang|train_0779.png|0.5033 || 2:Marcela|train_1100.png|0.4989 || 3:Kwang|train_0037.png|0.4954,0.23645021645021647,False,7,1099,Marcela,0.4910297393798828,train_1100.png,1:Marcela|train_1100.png|0.4910 || 2:Marcela|train_1012.png|0.4566 || 3:Alira|train_0213.png|0.4521,0.47777777777777775,False,3,212,Alira,0.03358273208141327,train_0213.png,1:Alira|train_0213.png|0.0336 || 2:Marcela|train_1100.png|0.0332 || 3:Madalena|train_0966.png|0.0326
213,Alira,train_0214.png,ConvNeXt-V2,1.0,0.24516594516594514,-0.7548340548340549,-0.7548340548340549,0.12790422970333015,False,5,1655,Saseka,0.6285141706466675,train_1656.png,1:Saseka|train_1656.png|0.6285 || 2:Abril|train_0171.png|0.5936 || 3:Madalena|train_0972.png|0.5887,0.015453936584405808,False,129,99,Ti,0.4912905693054199,train_0100.png,1:Ti|train_0100.png|0.4913 || 2:Marcela|train_1067.png|0.4781 || 3:Lua|train_0851.png|0.4679,1.0,True,1,202,Alira,0.6060624122619629,train_0203.png,1:Alira|train_0203.png|0.6061 || 2:Alira|train_0204.png|0.5994 || 3:Alira|train_0209.png|0.5943,0.24516594516594514,False,5,1655,Saseka,0.65020204957898,train_1656.png,1:Saseka|train_1656.png|0.6502 || 2:Madalena|train_0972.png|0.6299 || 3:Madalena|train_0971.png|0.6233,0.24516594516594514,False,5,1655,Saseka,0.47877026566770986,train_1656.png,1:Saseka|train_1656.png|0.4788 || 2:Madalena|train_0972.png|0.4496 || 3:Ti|train_0100.png|0.4420,0.17857142857142858,False,9,1655,Saseka,0.4720911979675293,train_1656.png,1:Saseka|train_1656.png|0.4721 || 2:Ti|train_0100.png|0.4471 || 3:Madalena|train_0972.png|0.4442,0.1830794817927171,False,6,1655,Saseka,0.04074172303080559,train_1656.png,1:Saseka|train_1656.png|0.0407 || 2:Ti|train_0100.png|0.0379 || 3:Madalena|train_0972.png|0.0378
421,Bororo,train_0422.png,EVA-02,0.8333333333333333,0.10555555555555556,-0.7277777777777777,-0.7277777777777777,0.8333333333333333,True,1,116,Bororo,0.6588789224624634,train_0117.png,1:Bororo|train_0117.png|0.6589 || 2:Ousado|train_1339.png|0.6204 || 3:Bororo|train_0018.png|0.5848,0.13246268656716417,False,4,98,Ti,0.44961196184158325,train_0099.png,1:Ti|train_0099.png|0.4496 || 2:Jaju|train_0476.png|0.4154 || 3:Tomas|train_1839.png|0.4131,0.044343891402714934,False,13,1723,Solar,0.6438039541244507,train_1724.png,1:Solar|train_1724.png|0.6438 || 2:Solar|train_1722.png|0.6292 || 3:Solar|train_1723.png|0.6250,0.10555555555555556,False,10,1723,Solar,0.6568268857997759,train_1724.png,1:Solar|train_1724.png|0.6568 || 2:Solar|train_1747.png|0.6406 || 3:Solar|train_1745.png|0.6373,0.08333333333333333,False,12,1723,Solar,0.4942240731411439,train_1724.png,1:Solar|train_1724.png|0.4942 || 2:Solar|train_1747.png|0.4715 || 3:Solar|train_1745.png|0.4650,0.0787878787878788,False,15,1723,Solar,0.45274317264556885,train_1724.png,1:Solar|train_1724.png|0.4527 || 2:Solar|train_1747.png|0.4474 || 3:Tomas|train_1840.png|0.4331,0.10101010101010101,False,11,1723,Solar,0.03971797227859497,train_1724.png,1:Solar|train_1724.png|0.0397 || 2:Solar|train_1747.png|0.0384 || 3:Solar|train_1745.png|0.0378
973,Madalena,train_0974.png,EVA-02,1.0,0.3238095238095238,-0.6761904761904762,-0.6761904761904762,1.0,True,1,952,Madalena,0.8196394443511963,train_0953.png,1:Madalena|train_0953.png|0.8196 || 2:Madalena|train_0954.png|0.8116 || 3:Madalena|train_0968.png|0.7884,0.9428571428571428,True,1,965,Madalena,0.4641849994659424,train_0966.png,1:Madalena|train_0966.png|0.4642 || 2:Madalena|train_0968.png|0.4609 || 3:Madalena|train_0954.png|0.4578,0.012273105516057422,False,199,1010,Marcela,0.7332471609115601,train_1011.png,1:Marcela|train_1011.png|0.7332 || 2:Kwang|train_0754.png|0.7206 || 3:Kwang|train_0753.png|0.7176,0.3238095238095238,False,3,1099,Marcela,0.6539188273171118,train_1100.png,1:Marcela|train_1100.png|0.6539 || 2:Kwang|train_0753.png|0.6371 || 3:Madalena|train_0968.png|0.6368,0.19512820512820514,False,7,1099,Marcela,0.49623639265331865,train_1100.png,1:Marcela|train_1100.png|0.4962 || 2:Kwang|train_0753.png|0.4652 || 3:Jaju|train_0028.png|0.4602,0.4518614718614719,False,3,1099,Marcela,0.4563911259174347,train_1100.png,1:Marcela|train_1100.png|0.4564 || 2:Marcela|train_1012.png|0.4399 || 3:Madalena|train_0968.png|0.4359,0.9428571428571428,True,1,967,Madalena,0.03387916833162308,train_0968.png,1:Madalena|train_0968.png|0.0339 || 2:Madalena|train_0966.png|0.0334 || 3:Madalena|train_0954.png|0.0331
422,Bororo,train_0423.png,EVA-02,0.75,0.10416666666666666,-0.6458333333333334,-0.6458333333333334,0.75,True,1,116,Bororo,0.6742130517959595,train_0117.png,1:Bororo|train_0117.png|0.6742 || 2:Ousado|train_1339.png|0.6646 || 3:Ousado|train_1338.png|0.6181,0.13443396226415094,False,4,475,Jaju,0.4726184904575348,train_0476.png,1:Jaju|train_0476.png|0.4726 || 2:Medrosa|train_1197.png|0.4258 || 3:Ti|train_0099.png|0.4249,0.027989130434782607,False,23,1429,Ousado,0.6326228380203247,train_1430.png,1:Ousado|train_1430.png|0.6326 || 2:Ousado|train_1429.png|0.6316 || 3:Bagua|train_0012.png|0.6060,0.10416666666666666,False,12,1723,Solar,0.6782089773596194,train_1724.png,1:Solar|train_1724.png|0.6782 || 2:Solar|train_1723.png|0.6665 || 3:Solar|train_1725.png|0.6597,0.08333333333333333,False,14,1723,Solar,0.5239587960142702,train_1724.png,1:Solar|train_1724.png|0.5240 || 2:Solar|train_1723.png|0.5071 || 3:Solar|train_1725.png|0.4955,0.07291666666666666,False,16,1723,Solar,0.49148163199424744,train_1724.png,1:Solar|train_1724.png|0.4915 || 2:Solar|train_1723.png|0.4753 || 3:Solar|train_1747.png|0.4665,0.12142857142857143,False,10,1723,Solar,0.04245176911354065,train_1724.png,1:Solar|train_1724.png|0.0425 || 2:Solar|train_1723.png|0.0400 || 3:Solar|train_1747.png|0.0390
972,Madalena,train_0973.png,EVA-02,1.0,0.3576315789473684,-0.6423684210526316,-0.6423684210526316,1.0,True,1,952,Madalena,0.8211427927017212,train_0953.png,1:Madalena|train_0953.png|0.8211 || 2:Madalena|train_0954.png|0.8151 || 3:Madalena|train_0967.png|0.7957,1.0,True,1,965,Madalena,0.4775310158729553,train_0966.png,1:Madalena|train_0966.png|0.4775 || 2:Madalena|train_0968.png|0.4714 || 3:Madalena|train_0967.png|0.4686,0.011907840839397197,False,210,1010,Marcela,0.721260130405426,train_1011.png,1:Marcela|train_1011.png|0.7213 || 2:Kwang|train_0754.png|0.7087 || 3:Marcela|train_1010.png|0.7051,0.3576315789473684,False,2,1099,Marcela,0.6399543418855351,train_1100.png,1:Marcela|train_1100.png|0.6400 || 2:Madalena|train_0968.png|0.6366 || 3:Alira|train_0213.png|0.6342,0.22893772893772893,False,6,1099,Marcela,0.4750280583441181,train_1100.png,1:Marcela|train_1100.png|0.4750 || 2:Jaju|train_0028.png|0.4580 || 3:Kwang|train_0753.png|0.4541,0.3903174603174603,False,4,27,Jaju,0.4328659474849701,train_0028.png,1:Jaju|train_0028.png|0.4329 || 2:Marcela|train_1012.png|0.4326 || 3:Marcela|train_1100.png|0.4320,0.71,False,2,212,Alira,0.03355133533477783,train_0213.png,1:Alira|train_0213.png|0.0336 || 2:Madalena|train_0968.png|0.0335 || 3:Madalena|train_0967.png|0.0333
201,Alira,train_0202.png,ConvNeXt-V2,1.0,0.41798941798941797,-0.5820105820105821,-0.5820105820105821,0.17573238805362015,False,2,190,Akaloi,0.8193681240081787,train_0191.png,1:Akaloi|train_0191.png|0.8194 || 2:Alira|train_0209.png|0.8061 || 3:Marcela|train_0045.png|0.7906,0.08344050899935355,False,5,985,Marcela,0.5070581436157227,train_0986.png,1:Marcela|train_0986.png|0.5071 || 2:Marcela|train_0138.png|0.4135 || 3:Ti|train_1791.png|0.3848,1.0,True,1,213,Alira,0.586406409740448,train_0214.png,1:Alira|train_0214.png|0.5864 || 2:Alira|train_0209.png|0.5433 || 3:Alira|train_0213.png|0.5416,0.41798941798941797,True,1,208,Alira,0.7158659696688459,train_0209.png,1:Alira|train_0209.png|0.7159 || 2:Estella|train_0022.png|0.6853 || 3:Marcela|train_0045.png|0.6564,0.42518059855521156,True,1,208,Alira,0.570916648142571,train_0209.png,1:Alira|train_0209.png|0.5709 || 2:Estella|train_0022.png|0.5287 || 3:Marcela|train_0045.png|0.4795,0.4658119658119659,True,1,208,Alira,0.5004441142082214,train_0209.png,1:Alira|train_0209.png|0.5004 || 2:Estella|train_0022.png|0.4726 || 3:Marcela|train_0986.png|0.4270,0.39125000000000004,True,1,208,Alira,0.04547511413693428,train_0209.png,1:Alira|train_0209.png|0.0455 || 2:Estella|train_0022.png|0.0419 || 3:Marcela|train_0045.png|0.0376
1428,Ousado,train_1429.png,EVA-02,0.7384257954461382,0.27796536679021383,-0.46046042865592435,-0.46046042865592435,0.7384257954461382,True,1,1337,Ousado,0.667043924331665,train_1338.png,1:Ousado|train_1338.png|0.6670 || 2:Ousado|train_1386.png|0.5680 || 3:Ousado|train_1421.png|0.5640,0.3866499257626191,False,10,1839,Tomas,0.5714824795722961,train_1840.png,1:Tomas|train_1840.png|0.5715 || 2:Tomas|train_1842.png|0.5654 || 3:Tomas|train_1844.png|0.5573,0.07069381383002982,False,54,222,Apeiara,0.7414347529411316,train_0223.png,1:Apeiara|train_0223.png|0.7414 || 2:Apeiara|train_0225.png|0.7316 || 3:Ti|train_0099.png|0.7285,0.27796536679021383,False,2,28,Jaju,0.6485180380279079,train_0029.png,1:Jaju|train_0029.png|0.6485 || 2:Ousado|train_1338.png|0.6443 || 3:Ousado|train_0072.png|0.6429,0.25725852635312674,False,2,28,Jaju,0.4871646736102168,train_0029.png,1:Jaju|train_0029.png|0.4872 || 2:Ousado|train_0072.png|0.4754 || 3:Marcela|train_1101.png|0.4730,0.3580515189507151,True,1,1337,Ousado,0.4855613708496094,train_1338.png,1:Ousado|train_1338.png|0.4856 || 2:Tomas|train_1842.png|0.4838 || 3:Tomas|train_1844.png|0.4764,0.34664457648515534,False,5,28,Jaju,0.034206047654151917,train_0029.png,1:Jaju|train_0029.png|0.0342 || 2:Pollyanna|train_1612.png|0.0330 || 3:Tomas|train_1842.png|0.0329
