query_idx,query_label,ap__EVA-02,rank1__EVA-02,first_pos_rank__EVA-02,top1_idx__EVA-02,top1_label__EVA-02,top1_sim__EVA-02,ap__MiewID,rank1__MiewID,first_pos_rank__MiewID,top1_idx__MiewID,top1_label__MiewID,top1_sim__MiewID,ap__ConvNeXt-V2,rank1__ConvNeXt-V2,first_pos_rank__ConvNeXt-V2,top1_idx__ConvNeXt-V2,top1_label__ConvNeXt-V2,top1_sim__ConvNeXt-V2,ap__score_fusion,rank1__score_fusion,first_pos_rank__score_fusion,top1_idx__score_fusion,top1_label__score_fusion,top1_sim__score_fusion,ap__embedding_concat,rank1__embedding_concat,first_pos_rank__embedding_concat,top1_idx__embedding_concat,top1_label__embedding_concat,top1_sim__embedding_concat,ap__adaptive_margin_top5,rank1__adaptive_margin_top5,first_pos_rank__adaptive_margin_top5,top1_idx__adaptive_margin_top5,top1_label__adaptive_margin_top5,top1_sim__adaptive_margin_top5,ap__rrf_k60,rank1__rrf_k60,first_pos_rank__rrf_k60,top1_idx__rrf_k60,top1_label__rrf_k60,top1_sim__rrf_k60,oracle_ap,oracle_rank1,best_model,best_model_ap,score_fusion_delta_vs_best_model,score_fusion_delta_vs_oracle,score_fusion_beats_best_model,score_fusion_matches_best_model
9,Ariely,0.032555396750504104,False,70,1338,Ousado,0.6909332871437073,0.016035568362701643,False,225,1458,Ousado,0.47129908204078674,0.02686432932406927,False,95,1502,Overa,0.7809759974479675,0.025587621197088406,False,92,11,Bagua,0.47902660745544556,0.024770574149054144,False,93,11,Bagua,0.5334436754245196,0.021349337076162427,False,117,11,Bagua,0.4791839122772217,0.01903238611418967,False,145,11,Bagua,0.03606047108769417,0.032555396750504104,False,EVA-02,0.032555396750504104,-0.006967775553415698,-0.006967775553415698,False,False
11,Bagua,0.33886134191012235,True,1,309,Bagua,0.7446887493133545,0.34208812260536403,True,1,309,Bagua,0.5995513200759888,0.33881634111307973,True,1,309,Bagua,0.8077858090400696,0.33857783421292803,True,1,309,Bagua,0.6563527613856557,0.33857473544973543,True,1,309,Bagua,0.7173419365982554,0.33876256174416625,True,1,309,Bagua,0.7025242447853088,0.3387182203389831,True,1,309,Bagua,0.04838709533214569,0.34208812260536403,True,MiewID,0.34208812260536403,-0.0035102883924360007,-0.0035102883924360007,False,False
13,Benita,0.09766851867576132,False,11,31,Katniss,0.7825212478637695,0.6198232323232322,True,1,383,Benita,0.41171467304229736,0.4659818786794204,True,1,324,Benita,0.6849657297134399,0.7516121031746033,True,1,324,Benita,0.471161042369361,0.8161172161172161,True,1,324,Benita,0.5331801624765142,0.772837579087579,True,1,324,Benita,0.5078983306884766,0.8260690789473684,True,1,383,Benita,0.04022200405597687,0.6198232323232322,True,MiewID,0.6198232323232322,0.13178887085137103,0.13178887085137103,True,False
17,Bororo,0.465625,True,1,420,Bororo,0.6544232368469238,0.013459073239170985,False,153,1341,Ousado,0.5256186723709106,0.05071200729095466,False,19,787,Kwang,0.7090529203414917,0.09462074303405572,False,12,787,Kwang,0.4476747945179499,0.08037573881227131,False,17,787,Kwang,0.5061800601013703,0.06314026008492568,False,20,1341,Ousado,0.5110852718353271,0.10398263595378979,False,14,1341,Ousado,0.037907008081674576,0.465625,True,EVA-02,0.465625,-0.3710042569659443,-0.3710042569659443,False,False
21,Estella,1.0,True,1,427,Estella,0.7816516160964966,0.20666666666666667,False,3,1262,Medrosa,0.5078423619270325,0.45,False,2,23,Ipepo,0.7021234631538391,0.8333333333333333,True,1,427,Estella,0.5876541585404463,0.8333333333333333,True,1,427,Estella,0.645582482416323,0.8333333333333333,True,1,427,Estella,0.6092383861541748,0.8333333333333333,True,1,427,Estella,0.0476270467042923,1.0,True,EVA-02,1.0,-0.16666666666666674,-0.16666666666666674,False,False
23,Ipepo,0.023809523809523808,False,42,1500,Overa,0.7207376956939697,0.07142857142857142,False,14,591,Kamaikua,0.5227503180503845,0.05263157894736842,False,19,21,Estella,0.7021234631538391,0.1111111111111111,False,9,21,Estella,0.5452257880387049,0.1111111111111111,False,9,21,Estella,0.6072968708596197,0.125,False,8,21,Estella,0.583509624004364,0.125,False,8,1501,Overa,0.04465591162443161,0.07142857142857142,False,MiewID,0.07142857142857142,0.03968253968253968,0.03968253968253968,True,False
27,Jaju,0.07499538043844044,False,7,9,Ariely,0.6780096888542175,0.05003137206210265,False,23,1722,Solar,0.5255522131919861,0.047561105570972165,False,38,224,Apeiara,0.6754822134971619,0.057528525244115,False,39,99,Ti,0.4844093484930908,0.05713688512784919,False,34,99,Ti,0.5469114141373634,0.05651848371767903,False,21,99,Ti,0.515487551689148,0.05262233064214093,False,42,99,Ti,0.03974428400397301,0.07499538043844044,False,EVA-02,0.07499538043844044,-0.017466855194325434,-0.017466855194325434,False,False
28,Jaju,0.5664542381904811,True,1,553,Jaju,0.7655550837516785,0.1727265064397093,False,4,1451,Ousado,0.5612977147102356,0.21098882558947107,False,8,1428,Ousado,0.6561068296432495,0.8328654696596507,True,1,553,Jaju,0.5351214979810277,0.8293396920389331,True,1,553,Jaju,0.5919615191494348,0.7828643283666461,True,1,553,Jaju,0.563125491142273,0.8237056094410928,True,1,553,Jaju,0.040718697011470795,0.5664542381904811,True,EVA-02,0.5664542381904811,0.26641123146916956,0.26641123146916956,True,False
31,Katniss,0.23017033208914633,False,3,121,Guaraci,0.8211394548416138,0.8849009900990099,True,1,705,Katniss,0.658790111541748,0.8801282051282051,True,1,704,Katniss,0.7676291465759277,0.878731343283582,True,1,701,Katniss,0.6588865224906566,0.879,True,1,701,Katniss,0.7192731348178786,0.8793290043290043,True,1,703,Katniss,0.7072774171829224,0.8796296296296297,True,1,701,Katniss,0.04616113007068634,0.8849009900990099,True,MiewID,0.8849009900990099,-0.006169646815427865,-0.006169646815427865,False,False
36,Kwang,0.9611764705882353,True,1,778,Kwang,0.9656493663787842,0.9756592292089249,True,1,788,Kwang,0.7367845773696899,0.9938080495356038,True,1,777,Kwang,0.9356311559677124,1.0,True,1,777,Kwang,0.825507358854348,1.0,True,1,777,Kwang,0.8546555097012266,1.0,True,1,788,Kwang,0.7760918140411377,1.0,True,1,778,Kwang,0.04738666117191315,0.9938080495356038,True,ConvNeXt-V2,0.9938080495356038,0.006191950464396245,0.006191950464396245,True,False
44,Marcela,0.541656830840748,True,1,1016,Marcela,0.8867549896240234,0.7487574681667968,True,1,1103,Marcela,0.680898904800415,0.7136905020977139,True,1,997,Marcela,0.7261444330215454,0.969041762322915,True,1,978,Marcela,0.6280604594741444,0.9691147335273884,True,1,1103,Marcela,0.6933229263319386,0.9463197886783292,True,1,1103,Marcela,0.6947613954544067,0.9547542542469869,True,1,978,Marcela,0.0448218435049057,0.7487574681667968,True,MiewID,0.7487574681667968,0.22028429415611817,0.22028429415611817,True,False
56,Marcela,0.9452378173815914,True,1,1110,Marcela,0.7929903268814087,0.2598080097806885,False,6,1790,Ti,0.6637005805969238,0.5887456237921628,False,3,1385,Ousado,0.7457478642463684,0.8897333056708954,True,1,1110,Marcela,0.5901282642241341,0.8785355904638701,True,1,1110,Marcela,0.6433999961842918,0.8047242508509612,True,1,1107,Marcela,0.6156486868858337,0.8103795182645592,True,1,1110,Marcela,0.04137447476387024,0.9452378173815914,True,EVA-02,0.9452378173815914,-0.055504511710696036,-0.055504511710696036,False,False
59,Medrosa,0.15973511148252517,False,3,515,Jaju,0.857367753982544,0.2960031906189924,False,2,539,Jaju,0.5101536512374878,0.20769952400637834,True,1,1173,Medrosa,0.7922875881195068,0.27167319666190104,True,1,1173,Medrosa,0.6134093521530977,0.3056623153872915,True,1,1173,Medrosa,0.6512227681210818,0.3497166363369856,True,1,1173,Medrosa,0.54859858751297,0.282322507091003,True,1,1173,Medrosa,0.0436587929725647,0.2960031906189924,True,MiewID,0.2960031906189924,-0.024329993957091345,-0.024329993957091345,False,False
65,Medrosa,0.28616542031020875,False,7,1468,Overa,0.5821669697761536,0.19732027368066163,False,12,1468,Overa,0.5515044927597046,0.14844370425468026,False,19,184,Akaloi,0.6157298684120178,0.24281974627873132,False,7,1468,Overa,0.47686649788289254,0.2526988892954561,False,7,1468,Overa,0.543520232611298,0.2551667707027168,False,7,1468,Overa,0.5444550514221191,0.24245100387028387,False,7,1467,Overa,0.04623878747224808,0.28616542031020875,False,EVA-02,0.28616542031020875,-0.04334567403147743,-0.04334567403147743,False,False
66,Medrosa,0.8996898915960213,True,1,1196,Medrosa,0.9048769474029541,0.5376638930975347,True,1,1197,Medrosa,0.7077610492706299,0.7521311976578912,True,1,1171,Medrosa,0.7731886506080627,0.8937106520535468,True,1,1196,Medrosa,0.722227104894201,0.8781521358273747,True,1,1196,Medrosa,0.7695668487664746,0.829255283498305,True,1,1198,Medrosa,0.7320836186408997,0.8545822620718908,True,1,1196,Medrosa,0.04713864624500275,0.8996898915960213,True,EVA-02,0.8996898915960213,-0.005979239542474479,-0.005979239542474479,False,False
