query_idx,query_label,query_file,best_model,best_model_ap,ap__score_fusion_x,score_fusion_delta_vs_best_model,score_fusion_delta_vs_oracle,ap__EVA-02,rank1__EVA-02,first_pos_rank__EVA-02,top1_idx__EVA-02,top1_label__EVA-02,top1_sim__EVA-02,top1_file__EVA-02,top3__EVA-02,ap__MiewID,rank1__MiewID,first_pos_rank__MiewID,top1_idx__MiewID,top1_label__MiewID,top1_sim__MiewID,top1_file__MiewID,top3__MiewID,ap__ConvNeXt-V2,rank1__ConvNeXt-V2,first_pos_rank__ConvNeXt-V2,top1_idx__ConvNeXt-V2,top1_label__ConvNeXt-V2,top1_sim__ConvNeXt-V2,top1_file__ConvNeXt-V2,top3__ConvNeXt-V2,ap__score_fusion_y,rank1__score_fusion,first_pos_rank__score_fusion,top1_idx__score_fusion,top1_label__score_fusion,top1_sim__score_fusion,top1_file__score_fusion,top3__score_fusion,ap__embedding_concat,rank1__embedding_concat,first_pos_rank__embedding_concat,top1_idx__embedding_concat,top1_label__embedding_concat,top1_sim__embedding_concat,top1_file__embedding_concat,top3__embedding_concat,ap__adaptive_margin_top5,rank1__adaptive_margin_top5,first_pos_rank__adaptive_margin_top5,top1_idx__adaptive_margin_top5,top1_label__adaptive_margin_top5,top1_sim__adaptive_margin_top5,top1_file__adaptive_margin_top5,top3__adaptive_margin_top5,ap__rrf_k60,rank1__rrf_k60,first_pos_rank__rrf_k60,top1_idx__rrf_k60,top1_label__rrf_k60,top1_sim__rrf_k60,top1_file__rrf_k60,top3__rrf_k60
107,Bagua,train_0108.png,MiewID,0.49634712761058647,0.10395826926437948,-0.39238885834620696,-0.39238885834620696,0.0745158974574757,False,10,1217,Medrosa,0.7393526434898376,train_1218.png,1:Medrosa|train_1218.png|0.7394 || 2:Medrosa|train_1219.png|0.7255 || 3:Medrosa|train_1217.png|0.7224,0.49634712761058647,True,1,267,Bagua,0.5731103420257568,train_0268.png,1:Bagua|train_0268.png|0.5731 || 2:Medrosa|train_0065.png|0.5695 || 3:Bagua|train_0303.png|0.5637,0.03111015445912252,False,195,1013,Marcela,0.7791225910186768,train_1014.png,1:Marcela|train_1014.png|0.7791 || 2:Marcela|train_1006.png|0.7654 || 3:Marcela|train_1007.png|0.7605,0.10395826926437948,False,78,134,Marcela,0.5503222173562718,train_0135.png,1:Marcela|train_0135.png|0.5503 || 2:Marcela|train_1012.png|0.5319 || 3:Marcela|train_1134.png|0.5228,0.1250196971956023,False,48,134,Marcela,0.6040774259415914,train_0135.png,1:Marcela|train_0135.png|0.6041 || 2:Marcela|train_1134.png|0.5696 || 3:Marcela|train_1135.png|0.5604,0.12152792054418161,False,63,134,Marcela,0.5966029763221741,train_0135.png,1:Marcela|train_0135.png|0.5966 || 2:Marcela|train_1134.png|0.5836 || 3:Marcela|train_1135.png|0.5630,0.1376061244900078,False,50,134,Marcela,0.03623489663004875,train_0135.png,1:Marcela|train_0135.png|0.0362 || 2:Marcela|train_1012.png|0.0341 || 3:Marcela|train_1134.png|0.0314
23,Ipepo,train_0024.png,EVA-02,0.4456063166240936,0.05829408928342916,-0.38731222734066445,-0.38731222734066445,0.4456063166240936,True,1,467,Ipepo,0.7967342138290405,train_0468.png,1:Ipepo|train_0468.png|0.7967 || 2:Ipepo|train_0466.png|0.7956 || 3:Ipepo|train_0467.png|0.7898,0.009704460923323594,False,79,1470,Overa,0.5276848077774048,train_1471.png,1:Overa|train_1471.png|0.5277 || 2:Overa|train_1522.png|0.5269 || 3:Kamaikua|train_0592.png|0.5228,0.019247549771164097,False,79,21,Estella,0.7021234631538391,train_0022.png,1:Estella|train_0022.png|0.7021 || 2:Akaloi|train_0193.png|0.6968 || 3:Akaloi|train_0192.png|0.6846,0.05829408928342916,False,18,21,Estella,0.5444356830205175,train_0022.png,1:Estella|train_0022.png|0.5444 || 2:Madalena|train_0043.png|0.5309 || 3:Overa|train_1502.png|0.5298,0.04678111102121069,False,22,21,Estella,0.5857453618786059,train_0022.png,1:Estella|train_0022.png|0.5857 || 2:Madalena|train_0043.png|0.5807 || 3:Overa|train_1502.png|0.5779,0.02721419676897827,False,65,21,Estella,0.5724629759788513,train_0022.png,1:Estella|train_0022.png|0.5725 || 2:Overa|train_1522.png|0.5667 || 3:Madalena|train_0043.png|0.5648,0.053764791069405626,False,23,21,Estella,0.035301145166158676,train_0022.png,1:Estella|train_0022.png|0.0353 || 2:Madalena|train_0043.png|0.0345 || 3:Overa|train_1522.png|0.0325
1385,Ousado,train_1386.png,EVA-02,0.7551086376452346,0.3727026504054542,-0.3824059872397804,-0.3824059872397804,0.7551086376452346,True,1,1382,Ousado,0.8643143177032471,train_1383.png,1:Ousado|train_1383.png|0.8643 || 2:Ousado|train_1384.png|0.8065 || 3:Ousado|train_1381.png|0.8006,0.09162297865095752,False,12,56,Marcela,0.655775785446167,train_0057.png,1:Marcela|train_0057.png|0.6558 || 2:Ti|train_1830.png|0.6233 || 3:Ti|train_1834.png|0.6215,0.21855013506304566,True,1,1383,Ousado,0.7998861074447632,train_1384.png,1:Ousado|train_1384.png|0.7999 || 2:Marcela|train_0056.png|0.7913 || 3:Marcela|train_0057.png|0.7457,0.3727026504054542,True,1,1381,Ousado,0.6407407153845898,train_1382.png,1:Ousado|train_1382.png|0.6407 || 2:Ousado|train_1381.png|0.6334 || 3:Ousado|train_1384.png|0.6205,0.3165136763271148,True,1,1381,Ousado,0.6908166907811477,train_1382.png,1:Ousado|train_1382.png|0.6908 || 2:Ousado|train_1381.png|0.6851 || 3:Ousado|train_1380.png|0.6718,0.2201821250227694,True,1,1381,Ousado,0.6686879396438599,train_1382.png,1:Ousado|train_1382.png|0.6687 || 2:Ousado|train_1381.png|0.6548 || 3:Ousado|train_1380.png|0.6392,0.36046905924755784,True,1,1381,Ousado,0.042712148278951645,train_1382.png,1:Ousado|train_1382.png|0.0427 || 2:Ousado|train_1381.png|0.0390 || 3:Ousado|train_1380.png|0.0357
1278,Medrosa,train_1279.png,EVA-02,0.7929982120090124,0.41301524069943635,-0.3799829713095761,-0.3799829713095761,0.7929982120090124,False,2,1696,Saseka,0.8513119220733643,train_1697.png,1:Saseka|train_1697.png|0.8513 || 2:Medrosa|train_1212.png|0.8161 || 3:Medrosa|train_1244.png|0.8149,0.1424501174259595,False,4,90,Saseka,0.6293319463729858,train_0091.png,1:Saseka|train_0091.png|0.6293 || 2:Patricia|train_1548.png|0.5823 || 3:Patricia|train_1547.png|0.5670,0.05686943543402203,False,240,77,Ousado,0.6526762247085571,train_0078.png,1:Ousado|train_0078.png|0.6527 || 2:Guaraci|train_0450.png|0.6274 || 3:Ousado|train_1431.png|0.6022,0.41301524069943635,True,1,1173,Medrosa,0.5613875896171205,train_1174.png,1:Medrosa|train_1174.png|0.5614 || 2:Saseka|train_1702.png|0.5154 || 3:Medrosa|train_1248.png|0.4919,0.35931840184928115,True,1,1173,Medrosa,0.624866262334659,train_1174.png,1:Medrosa|train_1174.png|0.6249 || 2:Saseka|train_1702.png|0.5788 || 3:Marcela|train_1026.png|0.5520,0.11723113075112199,True,1,1173,Medrosa,0.5488603115081787,train_1174.png,1:Medrosa|train_1174.png|0.5489 || 2:Marcela|train_0048.png|0.5053 || 3:Patricia|train_1550.png|0.4973,0.3013148183483064,True,1,1173,Medrosa,0.029698727652430534,train_1174.png,1:Medrosa|train_1174.png|0.0297 || 2:Patricia|train_1550.png|0.0266 || 3:Katniss|train_0032.png|0.0253
1279,Medrosa,train_1280.png,EVA-02,0.7871871910168309,0.41577981864742997,-0.3714073723694009,-0.3714073723694009,0.7871871910168309,False,2,1696,Saseka,0.8565722107887268,train_1697.png,1:Saseka|train_1697.png|0.8566 || 2:Medrosa|train_1213.png|0.8382 || 3:Medrosa|train_1244.png|0.8368,0.15204819913406742,False,3,90,Saseka,0.6216545104980469,train_0091.png,1:Saseka|train_0091.png|0.6217 || 2:Patricia|train_1548.png|0.6017 || 3:Medrosa|train_1174.png|0.5957,0.0543827156624743,False,322,77,Ousado,0.645267903804779,train_0078.png,1:Ousado|train_0078.png|0.6453 || 2:Solar|train_1740.png|0.6317 || 3:Guaraci|train_0450.png|0.6170,0.41577981864742997,True,1,1173,Medrosa,0.5602026947783235,train_1174.png,1:Medrosa|train_1174.png|0.5602 || 2:Saseka|train_1702.png|0.5377 || 3:Saseka|train_1701.png|0.5067,0.36677648205581537,True,1,1173,Medrosa,0.6266901611475589,train_1174.png,1:Medrosa|train_1174.png|0.6267 || 2:Saseka|train_1702.png|0.6032 || 3:Saseka|train_1701.png|0.5696,0.10822558157756274,True,1,1173,Medrosa,0.542048454284668,train_1174.png,1:Medrosa|train_1174.png|0.5420 || 2:Marcela|train_0048.png|0.5116 || 3:Patricia|train_1550.png|0.4915,0.3058148560873751,True,1,1173,Medrosa,0.028466571122407913,train_1174.png,1:Medrosa|train_1174.png|0.0285 || 2:Saseka|train_1702.png|0.0279 || 3:Patricia|train_1550.png|0.0248
1384,Ousado,train_1385.png,EVA-02,0.8023809714083991,0.4740912692021932,-0.32828970220620596,-0.32828970220620596,0.8023809714083991,True,1,1378,Ousado,0.8197994828224182,train_1379.png,1:Ousado|train_1379.png|0.8198 || 2:Ousado|train_1381.png|0.8193 || 3:Ousado|train_1380.png|0.8186,0.10653005434901876,False,21,1829,Ti,0.6087422370910645,train_1830.png,1:Ti|train_1830.png|0.6087 || 2:Akaloi|train_0004.png|0.5864 || 3:Jaju|train_0486.png|0.5835,0.17701078186489583,False,2,55,Marcela,0.7753389477729797,train_0056.png,1:Marcela|train_0056.png|0.7753 || 2:Ousado|train_1384.png|0.7627 || 3:Marcela|train_0057.png|0.7451,0.4740912692021932,True,1,1381,Ousado,0.6323151961943044,train_1382.png,1:Ousado|train_1382.png|0.6323 || 2:Ousado|train_1381.png|0.6199 || 3:Ousado|train_1384.png|0.6196,0.4214832270639491,True,1,1381,Ousado,0.6778109679835473,train_1382.png,1:Ousado|train_1382.png|0.6778 || 2:Ousado|train_1381.png|0.6667 || 3:Ousado|train_1380.png|0.6600,0.25734701231044965,True,1,1381,Ousado,0.6445785760879517,train_1382.png,1:Ousado|train_1382.png|0.6446 || 2:Ousado|train_1384.png|0.6267 || 3:Ousado|train_1381.png|0.6243,0.3765754592061671,True,1,1381,Ousado,0.04167944937944412,train_1382.png,1:Ousado|train_1382.png|0.0417 || 2:Ousado|train_1384.png|0.0387 || 3:Ousado|train_1381.png|0.0372
1173,Medrosa,train_1174.png,EVA-02,0.7399171985212178,0.4510532687005486,-0.2888639298206692,-0.2888639298206692,0.7399171985212178,True,1,62,Medrosa,0.9348524212837219,train_0063.png,1:Medrosa|train_0063.png|0.9349 || 2:Medrosa|train_0062.png|0.9239 || 3:Medrosa|train_1157.png|0.9120,0.1813473496727766,True,1,60,Medrosa,0.7231172323226929,train_0061.png,1:Medrosa|train_0061.png|0.7231 || 2:Medrosa|train_0062.png|0.6919 || 3:Marcela|train_1058.png|0.6842,0.137967889608426,False,2,1065,Marcela,0.8003205060958862,train_1066.png,1:Marcela|train_1066.png|0.8003 || 2:Medrosa|train_0060.png|0.7923 || 3:Medrosa|train_0059.png|0.7820,0.4510532687005486,True,1,61,Medrosa,0.762960110543575,train_0062.png,1:Medrosa|train_0062.png|0.7630 || 2:Medrosa|train_0061.png|0.7195 || 3:Medrosa|train_0063.png|0.7117,0.43859611235625867,True,1,61,Medrosa,0.8030416807098109,train_0062.png,1:Medrosa|train_0062.png|0.8030 || 2:Medrosa|train_0061.png|0.7729 || 3:Medrosa|train_0063.png|0.7532,0.2482294717689012,True,1,61,Medrosa,0.7545067667961121,train_0062.png,1:Medrosa|train_0062.png|0.7545 || 2:Medrosa|train_0061.png|0.7283 || 3:Medrosa|train_0063.png|0.6786,0.36144723461027856,True,1,61,Medrosa,0.04713064804673195,train_0062.png,1:Medrosa|train_0062.png|0.0471 || 2:Medrosa|train_0063.png|0.0403 || 3:Medrosa|train_0061.png|0.0380
135,Marcela,train_0136.png,MiewID,0.7568400714573348,0.4792337857577703,-0.27760628569956447,-0.27760628569956447,0.3556237260180831,False,30,1290,Medrosa,0.8765186071395874,train_1291.png,1:Medrosa|train_1291.png|0.8765 || 2:Medrosa|train_1297.png|0.8617 || 3:Medrosa|train_1286.png|0.8603,0.7568400714573348,True,1,43,Marcela,0.7953804731369019,train_0044.png,1:Marcela|train_0044.png|0.7954 || 2:Marcela|train_1132.png|0.7099 || 3:Marcela|train_1108.png|0.6633,0.24276338361842528,False,56,1150,Medrosa,0.6919688582420349,train_1151.png,1:Medrosa|train_1151.png|0.6920 || 2:Medrosa|train_0065.png|0.6898 || 3:Medrosa|train_1249.png|0.6822,0.4792337857577703,False,2,63,Medrosa,0.6070597905683618,train_0064.png,1:Medrosa|train_0064.png|0.6071 || 2:Marcela|train_0044.png|0.5969 || 3:Medrosa|train_0065.png|0.5951,0.5715895083765289,True,1,43,Marcela,0.6685288986088214,train_0044.png,1:Marcela|train_0044.png|0.6685 || 2:Medrosa|train_0064.png|0.6609 || 3:Medrosa|train_0065.png|0.6501,0.4421140512187842,False,3,64,Medrosa,0.6551456451416016,train_0065.png,1:Medrosa|train_0065.png|0.6551 || 2:Medrosa|train_0064.png|0.6427 || 3:Marcela|train_0044.png|0.6083,0.41045887656866714,False,31,63,Medrosa,0.031487494707107544,train_0064.png,1:Medrosa|train_0064.png|0.0315 || 2:Medrosa|train_0065.png|0.0314 || 3:Medrosa|train_0139.png|0.0295
212,Alira,train_0213.png,EVA-02,0.6642856443110292,0.40734068506299725,-0.25694495924803196,-0.25694495924803196,0.6642856443110292,True,1,206,Alira,0.6885428428649902,train_0207.png,1:Alira|train_0207.png|0.6885 || 2:Alira|train_0215.png|0.6786 || 3:Alira|train_0208.png|0.6620,0.008799316336805965,False,509,16,Bororo,0.5010508894920349,train_0017.png,1:Bororo|train_0017.png|0.5011 || 2:Lua|train_0838.png|0.4942 || 3:Ti|train_1815.png|0.4729,0.4174275397989488,True,1,215,Alira,0.6860682368278503,train_0216.png,1:Alira|train_0216.png|0.6861 || 2:Alira|train_0215.png|0.6674 || 3:Ti|train_1799.png|0.6666,0.40734068506299725,True,1,214,Alira,0.4518103719295966,train_0215.png,1:Alira|train_0215.png|0.4518 || 2:Madalena|train_0972.png|0.4497 || 3:Madalena|train_0971.png|0.4419,0.16049489841112285,False,9,971,Madalena,0.5034723740417903,train_0972.png,1:Madalena|train_0972.png|0.5035 || 2:Madalena|train_0971.png|0.4965 || 3:Saseka|train_1656.png|0.4912,0.13386037994311573,False,12,1814,Ti,0.4741010367870331,train_1815.png,1:Ti|train_1815.png|0.4741 || 2:Madalena|train_0972.png|0.4675 || 3:Madalena|train_0971.png|0.4636,0.5719768154343198,True,1,214,Alira,0.03208472579717636,train_0215.png,1:Alira|train_0215.png|0.0321 || 2:Alira|train_0216.png|0.0310 || 3:Alira|train_0205.png|0.0303
421,Bororo,train_0422.png,EVA-02,0.5952865849143322,0.37528598912636907,-0.2200005957879631,-0.2200005957879631,0.5952865849143322,True,1,418,Bororo,0.8835368156433105,train_0419.png,1:Bororo|train_0419.png|0.8835 || 2:Bororo|train_0420.png|0.8609 || 3:Bororo|train_0020.png|0.7750,0.1700576958541923,True,1,419,Bororo,0.7141895294189453,train_0420.png,1:Bororo|train_0420.png|0.7142 || 2:Bororo|train_0419.png|0.6907 || 3:Ti|train_0097.png|0.5276,0.1626616694130114,True,1,418,Bororo,0.9065906405448914,train_0419.png,1:Bororo|train_0419.png|0.9066 || 2:Bororo|train_0420.png|0.8860 || 3:Ousado|train_1433.png|0.7528,0.37528598912636907,True,1,418,Bororo,0.7788889533962469,train_0419.png,1:Bororo|train_0419.png|0.7789 || 2:Bororo|train_0420.png|0.7711 || 3:Bororo|train_0020.png|0.5887,0.3868647012599711,True,1,418,Bororo,0.8088328891505294,train_0419.png,1:Bororo|train_0419.png|0.8088 || 2:Bororo|train_0420.png|0.8055 || 3:Bororo|train_0020.png|0.6364,0.23665115776552956,True,1,419,Bororo,0.7780584096908569,train_0420.png,1:Bororo|train_0420.png|0.7781 || 2:Bororo|train_0419.png|0.7728 || 3:Bororo|train_0020.png|0.5830,0.3001132089047525,True,1,418,Bororo,0.04663461446762085,train_0419.png,1:Bororo|train_0419.png|0.0466 || 2:Bororo|train_0420.png|0.0464 || 3:Bororo|train_0020.png|0.0422
