query_idx,query_label,ap__EVA-02,rank1__EVA-02,first_pos_rank__EVA-02,top1_idx__EVA-02,top1_label__EVA-02,top1_sim__EVA-02,ap__MiewID,rank1__MiewID,first_pos_rank__MiewID,top1_idx__MiewID,top1_label__MiewID,top1_sim__MiewID,ap__ConvNeXt-V2,rank1__ConvNeXt-V2,first_pos_rank__ConvNeXt-V2,top1_idx__ConvNeXt-V2,top1_label__ConvNeXt-V2,top1_sim__ConvNeXt-V2,ap__score_fusion,rank1__score_fusion,first_pos_rank__score_fusion,top1_idx__score_fusion,top1_label__score_fusion,top1_sim__score_fusion,ap__embedding_concat,rank1__embedding_concat,first_pos_rank__embedding_concat,top1_idx__embedding_concat,top1_label__embedding_concat,top1_sim__embedding_concat,ap__adaptive_margin_top5,rank1__adaptive_margin_top5,first_pos_rank__adaptive_margin_top5,top1_idx__adaptive_margin_top5,top1_label__adaptive_margin_top5,top1_sim__adaptive_margin_top5,ap__rrf_k60,rank1__rrf_k60,first_pos_rank__rrf_k60,top1_idx__rrf_k60,top1_label__rrf_k60,top1_sim__rrf_k60,oracle_ap,oracle_rank1,best_model,best_model_ap,score_fusion_delta_vs_best_model,score_fusion_delta_vs_oracle,score_fusion_beats_best_model,score_fusion_matches_best_model
9,Ariely,0.2327243107923294,True,1,264,Ariely,0.8839259147644043,0.017392733833596186,False,245,69,Ousado,0.5328173637390137,0.06462384919266057,False,4,497,Jaju,0.789227306842804,0.1646860446743032,True,1,264,Ariely,0.5255914318612634,0.0665742569618616,False,5,1223,Medrosa,0.5195652377749495,0.07869398821021319,False,4,1223,Medrosa,0.536645770072937,0.11562858575957095,False,2,1223,Medrosa,0.03523046523332596,0.2327243107923294,True,EVA-02,0.2327243107923294,-0.06803826611802619,-0.06803826611802619,False,False
11,Bagua,0.11988185024851489,True,1,306,Bagua,0.8030791878700256,0.040157000291591895,False,2,1742,Solar,0.6089268326759338,0.10875466190475139,True,1,305,Bagua,0.8621887564659119,0.12247894811245341,True,1,309,Bagua,0.6379277404661033,0.10453520481032767,True,1,309,Bagua,0.6584466253037028,0.12323099509918882,True,1,309,Bagua,0.683316707611084,0.12054860716558201,True,1,309,Bagua,0.04618300497531891,0.11988185024851489,True,EVA-02,0.11988185024851489,0.0025970978639385245,0.0025970978639385245,True,False
13,Benita,0.22039653748916171,True,1,320,Benita,0.8745529651641846,0.5544618200399852,True,1,320,Benita,0.6104191541671753,0.5697098488225323,True,1,322,Benita,0.6917312741279602,0.940653344028457,True,1,320,Benita,0.6286022540377131,0.9074219932724468,True,1,320,Benita,0.6527390119562461,0.9341772376180232,True,1,320,Benita,0.6638032793998718,0.8193626282077004,True,1,320,Benita,0.043369174003601074,0.5697098488225323,True,ConvNeXt-V2,0.5697098488225323,0.37094349520592473,0.37094349520592473,True,False
17,Bororo,0.4854984286272555,True,1,20,Bororo,0.8195784687995911,0.053905154153847695,False,4,822,Kwang,0.563629686832428,0.09865119547569699,True,1,20,Bororo,0.8839318156242371,0.21700262070409396,True,1,20,Bororo,0.6494708925013022,0.17452875183463623,True,1,20,Bororo,0.6364587211989884,0.2175801625892483,True,1,20,Bororo,0.6824023127555847,0.23477792833429234,True,1,20,Bororo,0.047409579157829285,0.4854984286272555,True,EVA-02,0.4854984286272555,-0.2684958079231615,-0.2684958079231615,False,False
21,Estella,0.9958333333333333,True,1,433,Estella,0.8879897594451904,0.5294980173580464,True,1,426,Estella,0.569047212600708,0.9152197802197802,True,1,437,Estella,0.7879730463027954,0.9913888888888889,True,1,423,Estella,0.6335128694618757,0.9613756613756614,True,1,423,Estella,0.6400809052388134,0.9796825396825397,True,1,423,Estella,0.6605508923530579,0.9913888888888889,True,1,437,Estella,0.04583853855729103,0.9958333333333333,True,EVA-02,0.9958333333333333,-0.004444444444444473,-0.004444444444444473,False,False
23,Ipepo,0.4456063166240936,True,1,467,Ipepo,0.7967342138290405,0.009704460923323594,False,79,1470,Overa,0.5276848077774048,0.019247549771164097,False,79,21,Estella,0.7021234631538391,0.03436382201145121,False,40,21,Estella,0.5205650121673578,0.01767551545154345,False,55,1521,Overa,0.5521588417580411,0.02721419676897827,False,65,21,Estella,0.5724629759788513,0.053764791069405626,False,23,21,Estella,0.035301145166158676,0.4456063166240936,True,EVA-02,0.4456063166240936,-0.4112424946126424,-0.4112424946126424,False,False
27,Jaju,0.11692091379946867,False,10,216,Apeiara,0.7174039483070374,0.05341511817590591,False,119,1722,Solar,0.5255522131919861,0.05169856188989013,False,139,1699,Saseka,0.7425099611282349,0.07163072055033008,False,34,412,Bororo,0.49345060086159276,0.06249700863547298,False,41,975,Madalena,0.5195065557864381,0.06683224417995903,False,33,975,Madalena,0.5274480581283569,0.06998361250805682,False,37,412,Bororo,0.03169989213347435,0.11692091379946867,False,EVA-02,0.11692091379946867,-0.04529019324913859,-0.04529019324913859,False,False
28,Jaju,0.7230000565177354,True,1,524,Jaju,0.8813902735710144,0.19987405889135296,False,15,1079,Marcela,0.5754296779632568,0.1747646154349856,True,1,557,Jaju,0.7076149582862854,0.7383215320316967,True,1,528,Jaju,0.5217179217216947,0.5108296638458503,False,5,1079,Marcela,0.5582553617113446,0.5235132833103162,False,7,1079,Marcela,0.5548262596130371,0.5370774585730314,True,1,553,Jaju,0.027337640523910522,0.7230000565177354,True,EVA-02,0.7230000565177354,0.015321475513961347,0.015321475513961347,True,False
31,Katniss,0.6005254209229769,True,1,729,Katniss,0.9192507863044739,0.9838806342644831,True,1,730,Katniss,0.7398840188980103,0.9250886503588263,True,1,730,Katniss,0.8382658958435059,0.9845776815228542,True,1,730,Katniss,0.7634474780966368,0.9849382036010603,True,1,730,Katniss,0.7822532720860663,0.984801200300075,True,1,730,Katniss,0.7971245050430298,0.9846741805933411,True,1,730,Katniss,0.047642678022384644,0.9838806342644831,True,MiewID,0.9838806342644831,0.000697047258371053,0.000697047258371053,True,False
36,Kwang,0.8362863249385838,True,1,776,Kwang,0.9863301515579224,0.9893145452734954,True,1,776,Kwang,0.9290908575057983,0.9898978671942114,True,1,776,Kwang,0.9858736991882324,0.9993358913813459,True,1,776,Kwang,0.9464749685875713,0.999538717730682,True,1,776,Kwang,0.9480944718959766,0.9990026244981488,True,1,776,Kwang,0.9418162107467651,0.9985902255639098,True,1,776,Kwang,0.04838709533214569,0.9898978671942114,True,ConvNeXt-V2,0.9898978671942114,0.009438024187134575,0.009438024187134575,True,False
