query_idx,query_label,ap__ConvNeXt-V2,rank1__ConvNeXt-V2,first_pos_rank__ConvNeXt-V2,top1_idx__ConvNeXt-V2,top1_label__ConvNeXt-V2,top1_sim__ConvNeXt-V2,ap__score_fusion,rank1__score_fusion,first_pos_rank__score_fusion,top1_idx__score_fusion,top1_label__score_fusion,top1_sim__score_fusion,ap__embedding_concat,rank1__embedding_concat,first_pos_rank__embedding_concat,top1_idx__embedding_concat,top1_label__embedding_concat,top1_sim__embedding_concat,oracle_ap,oracle_rank1,best_model,best_model_ap,score_fusion_delta_vs_best_model,score_fusion_delta_vs_oracle,score_fusion_beats_best_model,score_fusion_matches_best_model
30,Kamaikua,0.10820411192580784,True,1,594,Kamaikua,0.917877733707428,0.10820411192580784,True,1,594,Kamaikua,0.8904812443057756,0.10820411192580784,True,1,594,Kamaikua,0.9178790252062663,0.10820411192580784,True,ConvNeXt-V2,0.10820411192580784,0.0,0.0,False,True
102,Tomas,0.04607764110531319,True,1,103,Tomas,0.8876954913139343,0.04607764110531319,True,1,103,Tomas,0.8518264428325669,0.04607764110531319,True,1,103,Tomas,0.8876957456224944,0.04607764110531319,True,ConvNeXt-V2,0.04607764110531319,0.0,0.0,False,True
117,Bororo,0.009581438626256059,False,22,160,Ti,0.9035888910293579,0.009581438626256059,False,22,160,Ti,0.8720744228838366,0.009581438626256059,False,22,160,Ti,0.9035891033069133,0.009581438626256059,False,ConvNeXt-V2,0.009581438626256059,0.0,0.0,False,True
181,Akaloi,0.08367826036837193,False,2,1770,Ti,0.8090782761573792,0.08367826036837193,False,2,1770,Ti,0.7551670017808697,0.08367826036837193,False,2,1770,Ti,0.8090780132697648,0.08367826036837193,False,ConvNeXt-V2,0.08367826036837193,0.0,0.0,False,True
182,Akaloi,0.2665054325734576,True,1,183,Akaloi,0.9186021685600281,0.2665054325734576,True,1,183,Akaloi,0.8914195780381491,0.2665054325734576,True,1,183,Akaloi,0.9186021277873861,0.2665054325734576,True,ConvNeXt-V2,0.2665054325734576,0.0,0.0,False,True
212,Alira,0.009280796735418147,False,283,1769,Ti,0.6180639266967773,0.009280796735418147,False,283,1769,Ti,0.5445618423992115,0.009280796735418147,False,283,1769,Ti,0.61806396432406,0.009280796735418147,False,ConvNeXt-V2,0.009280796735418147,0.0,0.0,False,True
213,Alira,0.009488092792596142,False,273,1671,Saseka,0.6190006732940674,0.009488092792596142,False,273,1671,Saseka,0.5455108420564746,0.009488092792596142,False,273,1671,Saseka,0.6190011799275953,0.009488092792596142,False,ConvNeXt-V2,0.009488092792596142,0.0,0.0,False,True
251,Ariely,0.17950836780758578,True,1,249,Ariely,0.8712521195411682,0.17950836780758578,True,1,249,Ariely,0.8311281225040844,0.17950836780758578,True,1,249,Ariely,0.8712520870952141,0.17950836780758578,True,ConvNeXt-V2,0.17950836780758578,0.0,0.0,False,True
304,Bagua,0.7030665870122935,True,1,269,Bagua,0.8056296706199646,0.7030665870122935,True,1,269,Bagua,0.7510601918483425,0.7030665870122935,True,1,269,Bagua,0.8056298960456516,0.7030665870122935,True,ConvNeXt-V2,0.7030665870122935,0.0,0.0,False,True
352,Benita,0.4026396829650488,True,1,332,Benita,0.8418368101119995,0.4026396829650488,True,1,332,Benita,0.7947362320021324,0.4026396829650488,True,1,332,Benita,0.8418366706878866,0.4026396829650488,True,ConvNeXt-V2,0.4026396829650488,0.0,0.0,False,True
