query_idx,query_label,ap__MegaDescriptor-L,rank1__MegaDescriptor-L,first_pos_rank__MegaDescriptor-L,top1_idx__MegaDescriptor-L,top1_label__MegaDescriptor-L,top1_sim__MegaDescriptor-L,ap__score_fusion,rank1__score_fusion,first_pos_rank__score_fusion,top1_idx__score_fusion,top1_label__score_fusion,top1_sim__score_fusion,ap__embedding_concat,rank1__embedding_concat,first_pos_rank__embedding_concat,top1_idx__embedding_concat,top1_label__embedding_concat,top1_sim__embedding_concat,oracle_ap,oracle_rank1,best_model,best_model_ap,score_fusion_delta_vs_best_model,score_fusion_delta_vs_oracle,score_fusion_beats_best_model,score_fusion_matches_best_model
30,Kamaikua,0.01490596238495398,False,98,117,Bororo,0.6878340244293213,0.01490596238495398,False,98,117,Bororo,0.5819404096317987,0.01490596238495398,False,98,117,Bororo,0.6878340211789048,0.01490596238495398,False,MegaDescriptor-L,0.01490596238495398,0.0,0.0,False,True
500,Jaju,0.22194908849320616,False,9,944,Lua,0.6719064712524414,0.22194908849320616,False,9,944,Lua,0.5636258207915694,0.22194908849320616,False,9,944,Lua,0.6719065102583941,0.22194908849320616,False,MegaDescriptor-L,0.22194908849320616,0.0,0.0,False,True
536,Jaju,0.05286994660564454,False,23,1387,Ousado,0.7592744827270508,0.05286994660564454,False,23,1387,Ousado,0.6676897513751431,0.05286994660564454,False,23,1387,Ousado,0.7592742547357489,0.05286994660564454,False,MegaDescriptor-L,0.05286994660564454,0.0,0.0,False,True
537,Jaju,0.035339105339105344,False,33,1387,Ousado,0.7836136221885681,0.035339105339105344,False,33,1387,Ousado,0.6982492041020829,0.035339105339105344,False,33,1387,Ousado,0.7836135411598377,0.035339105339105344,False,MegaDescriptor-L,0.035339105339105344,0.0,0.0,False,True
539,Jaju,0.05174817674817675,False,21,1387,Ousado,0.7559390664100647,0.05174817674817675,False,21,1387,Ousado,0.6635551809469241,0.05174817674817675,False,21,1387,Ousado,0.7559392424184181,0.05174817674817675,False,MegaDescriptor-L,0.05174817674817675,0.0,0.0,False,True
541,Jaju,0.043890636786811654,False,27,1387,Ousado,0.7689523696899414,0.043890636786811654,False,27,1387,Ousado,0.6797591107957881,0.043890636786811654,False,27,1387,Ousado,0.7689526388437732,0.043890636786811654,False,MegaDescriptor-L,0.043890636786811654,0.0,0.0,False,True
542,Jaju,0.18687019111442046,False,2,1740,Solar,0.6269145607948303,0.18687019111442046,False,2,1740,Solar,0.5134728945122811,0.18687019111442046,False,2,1740,Solar,0.6269145698057068,0.18687019111442046,False,MegaDescriptor-L,0.18687019111442046,0.0,0.0,False,True
543,Jaju,0.13128602663486386,False,3,1740,Solar,0.5811902284622192,0.13128602663486386,False,3,1740,Solar,0.46489743143093054,0.13128602663486386,False,3,1740,Solar,0.5811901910016083,0.13128602663486386,False,MegaDescriptor-L,0.13128602663486386,0.0,0.0,False,True
555,Jaju,0.11429727446534169,False,21,1781,Ti,0.5509616732597351,0.11429727446534169,False,21,1781,Ti,0.434109041000479,0.11429727446534169,False,21,1781,Ti,0.5509616054110069,0.11429727446534169,False,MegaDescriptor-L,0.11429727446534169,0.0,0.0,False,True
556,Jaju,0.14065360354470224,False,11,1675,Saseka,0.5012783408164978,0.14065360354470224,False,11,1675,Saseka,0.3857969427957463,0.14065360354470224,False,11,1675,Saseka,0.5012784923412748,0.14065360354470224,False,MegaDescriptor-L,0.14065360354470224,0.0,0.0,False,True
570,Kamaikua,0.012195121951219513,False,82,304,Bagua,0.5467668771743774,0.012195121951219513,False,82,304,Bagua,0.42991989394418745,0.012195121951219513,False,82,304,Bagua,0.5467667717099809,0.012195121951219513,False,MegaDescriptor-L,0.012195121951219513,0.0,0.0,False,True
571,Kamaikua,0.010752688172043012,False,93,1761,Ti,0.54460608959198,0.010752688172043012,False,93,1761,Ti,0.42776994200826335,0.010752688172043012,False,93,1761,Ti,0.54460611185165,0.010752688172043012,False,MegaDescriptor-L,0.010752688172043012,0.0,0.0,False,True
743,Kwang,0.6783333333333333,True,1,746,Kwang,0.5969828367233276,0.6783333333333333,True,1,746,Kwang,0.4814019749035578,0.6783333333333333,True,1,746,Kwang,0.5969828704317457,0.6783333333333333,True,MegaDescriptor-L,0.6783333333333333,0.0,0.0,False,True
744,Kwang,0.5449999999999999,False,3,304,Bagua,0.6485996246337891,0.5449999999999999,False,3,304,Bagua,0.5373537614026611,0.5449999999999999,False,3,304,Bagua,0.6485994105223538,0.5449999999999999,False,MegaDescriptor-L,0.5449999999999999,0.0,0.0,False,True
745,Kwang,0.7861904761904761,True,1,746,Kwang,0.6419832110404968,0.7861904761904761,True,1,746,Kwang,0.5300098377371891,0.7861904761904761,True,1,746,Kwang,0.6419831952503474,0.7861904761904761,True,MegaDescriptor-L,0.7861904761904761,0.0,0.0,False,True
746,Kwang,0.7266666666666668,True,1,745,Kwang,0.6419832110404968,0.7266666666666668,True,1,745,Kwang,0.5300098377371891,0.7266666666666668,True,1,745,Kwang,0.6419831952503474,0.7266666666666668,True,MegaDescriptor-L,0.7266666666666668,0.0,0.0,False,True
747,Kwang,0.19248366013071896,False,4,1740,Solar,0.6917558908462524,0.19248366013071896,False,4,1740,Solar,0.5864949673069776,0.19248366013071896,False,4,1740,Solar,0.6917558772078043,0.19248366013071896,False,MegaDescriptor-L,0.19248366013071896,0.0,0.0,False,True
748,Kwang,0.4769230769230769,False,2,1740,Solar,0.6679103970527649,0.4769230769230769,False,2,1740,Solar,0.559076810622713,0.4769230769230769,False,2,1740,Solar,0.6679104083085612,0.4769230769230769,False,MegaDescriptor-L,0.4769230769230769,0.0,0.0,False,True
775,Kwang,0.7464285714285714,True,1,745,Kwang,0.6147283315658569,0.7464285714285714,True,1,745,Kwang,0.5002909207863238,0.7464285714285714,True,1,745,Kwang,0.6147283409162353,0.7464285714285714,True,MegaDescriptor-L,0.7464285714285714,0.0,0.0,False,True
776,Kwang,0.5743055555555555,True,1,745,Kwang,0.6111429333686829,0.5743055555555555,True,1,745,Kwang,0.4964451927402711,0.5743055555555555,True,1,745,Kwang,0.6111428867658947,0.5743055555555555,True,MegaDescriptor-L,0.5743055555555555,0.0,0.0,False,True
