identity_id,total_images,burst_images,singleton_images
Marcela,183,121,62
Ousado,179,142,37
Medrosa,170,129,41
Lua,120,107,13
Kwang,113,89,24
Kamaikua,105,89,16
Jaju,104,73,31
Ti,86,67,19
Benita,86,73,13
Saseka,79,61,18
Katniss,63,58,5
Tomas,63,56,7
Overa,62,49,13
Bagua,60,48,12
Pixana,50,35,15
Solar,45,34,11
Pyte,36,29,7
Ariely,34,29,5
Guaraci,31,27,4
Madalena,27,19,8
Alira,23,16,7
Bororo,22,9,13
Abril,21,17,4
Apeiara,20,14,6
Patricia,19,8,11
Akaloi,19,12,7
Oxum,17,9,8
Pollyanna,16,10,6
Estella,16,7,9
Bernard,13,5,8
Ipepo,13,5,8
